movie_id,genres_id
511,7
511,16
511,13
511,10
512,0
512,1
512,10
512,4
513,13
513,14
513,10
514,0
514,13
514,2
514,10
515,0
515,16
515,13
515,11
515,4
516,0
516,1
516,6
516,8
516,3
517,0
517,7
517,16
517,4
518,0
518,13
518,3
519,13
519,17
519,3
519,4
520,6
520,7
520,2
521,0
521,1
521,13
521,4
522,13
522,11
522,3
522,4
523,0
523,6
523,7
523,8
523,3
524,0
524,2
525,16
525,11
525,4
526,13
526,11
526,3
526,4
527,0
527,6
527,7
527,8
528,0
528,1
528,7
528,10
528,4
529,7
529,13
530,0
530,13
530,4
531,0
531,7
531,15
532,7
532,8
532,2
533,19
533,13
533,14
533,18
534,0
534,13
534,18
535,1
535,6
535,7
536,13
536,10
537,0
537,13
537,15
538,1
538,13
538,8
539,13
539,11
539,10
539,4
540,7
540,8
540,2
541,13
541,3
541,4
542,1
542,6
542,7
542,8
542,2
542,10
543,1
543,6
543,7
543,8
543,15
544,7
544,10
545,0
545,1
545,4
546,1
546,6
546,7
546,8
546,2
547,16
547,4
548,1
548,13
548,18
549,1
549,7
549,8
549,2
550,0
550,1
551,0
551,4
552,0
552,1
552,16
552,4
553,1
553,13
553,2
553,11
553,4
554,2
554,11
554,10
554,3
554,4
555,13
555,2
555,11
555,4
556,0
556,17
556,3
556,4
557,6
557,7
557,8
557,2
557,20
558,0
558,13
558,14
558,18
559,0
559,4
560,0
560,1
560,3
560,4
561,0
561,3
562,1
562,13
562,2
563,13
563,17
563,10
563,4
564,13
564,18
565,13
565,18
566,1
566,13
566,3
566,4
567,13
568,0
568,13
568,2
568,17
568,18
569,0
569,4
570,1
570,8
570,2
570,10
571,1
571,19
571,13
571,14
571,18
572,7
572,13
573,0
573,1
573,7
573,4
574,0
574,1
574,17
574,3
575,0
575,1
575,7
575,4
576,0
576,2
576,17
577,7
577,13
577,9
577,10
578,13
578,18
579,0
579,16
579,4
580,0
580,3
580,15
581,0
581,16
581,3
581,4
582,0
582,16
582,13
582,4
583,0
583,1
583,6
583,7
583,16
583,8
583,2
584,1
584,6
584,8
584,2
584,9
585,0
585,16
585,13
585,11
585,4
586,0
586,1
586,11
586,3
586,4
587,16
587,11
587,4
588,0
588,16
588,11
588,3
588,4
589,0
589,1
589,2
590,0
590,13
590,4
591,1
591,13
591,2
591,10
592,16
592,13
592,4
593,6
593,7
593,8
594,0
594,7
594,16
594,13
594,4
595,7
596,1
596,13
596,14
596,10
597,0
597,7
597,2
597,3
598,7
598,10
599,19
599,13
599,4
600,0
600,13
600,14
600,4
601,0
601,13
601,4
602,7
603,0
603,2
603,17
604,0
604,16
604,10
604,4
605,7
606,13
606,11
606,3
606,4
607,0
607,1
607,2
607,18
608,0
608,13
608,18
609,0
609,16
609,13
609,4
610,7
610,2
610,10
611,1
611,6
611,7
611,8
612,13
612,17
612,3
612,4
613,19
613,13
613,14
613,18
614,0
614,3
615,1
615,13
615,14
616,0
616,3
617,7
617,8
617,2
618,13
618,9
618,10
619,7
619,13
619,10
620,7
621,0
621,1
621,7
621,10
621,4
621,12
622,7
622,13
623,0
623,1
623,4
624,0
624,1
624,4
625,0
625,16
625,4
626,7
626,8
626,2
627,13
627,14
627,4
628,13
629,7
629,10
630,13
630,11
630,4
631,7
631,13
631,8
631,9
632,7
632,16
632,13
632,10
633,0
633,7
633,10
634,0
634,1
634,2
634,17
634,3
634,4
635,0
635,13
635,18
636,7
636,13
637,0
637,17
637,3
637,4
638,0
638,3
638,4
639,0
639,16
639,13
639,11
639,4
640,0
640,13
640,4
641,0
641,1
641,7
641,8
641,2
641,3
642,13
643,13
643,15
644,16
644,13
644,11
645,0
645,1
645,7
646,7
646,16
647,0
647,2
647,3
647,4
648,16
648,13
649,0
649,16
649,2
649,4
650,0
650,16
650,4
651,13
651,11
651,10
652,1
652,19
652,13
652,14
652,15
652,4
653,16
653,13
653,2
654,0
654,7
654,16
655,0
655,6
655,7
655,8
655,3
656,1
656,3
656,4
657,1
657,19
657,16
657,13
657,12
658,0
